Gender;Age at enrollment;Scholarship holder;Admission grade;Debtor;Curricular units 1st sem (enrolled);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade)
1;20;0;127.3;0;0;0;0.0;0;0;0.0
1;19;0;142.5;0;6;6;14.0;6;6;13.666.666.666.666.600
1;19;0;124.8;0;6;0;0.0;6;0;0.0
0;20;0;119.6;0;6;6;13.428.571.428.571.400;6;5;12.4
0;45;0;141.5;0;6;5;12.333.333.333.333.300;6;6;13.0
1;50;0;114.8;1;5;5;11.857.142.857.142.800;5;5;11.5
0;18;1;128.4;0;7;7;13.3;8;8;14.345
1;22;0;113.1;0;5;0;0.0;5;0;0.0
0;21;1;129.3;0;6;6;13.875;6;6;14.142.857.142.857.100
0;18;0;123.0;1;6;5;11.4;6;2;13.5
0;18;0;130.6;0;6;6;12.333.333.333.333.300;6;5;14.2
0;18;1;119.3;0;8;7;13.214.285.714.285.700;8;7;13.214.285.714.285.700
0;19;0;130.2;0;6;0;0.0;6;0;0.0
0;21;1;111.8;0;6;6;10.571.428.571.428.500;6;5;11.0
0;18;1;137.1;0;5;4;13.25;5;5;12.0
0;20;0;120.7;0;6;5;13.2;6;0;0.0
0;18;0;137.4;0;6;1;12.0;6;2;11.0
0;18;0;127.3;0;7;7;1.330.625;8;8;14.545
0;20;0;136.3;0;5;4;12.5;5;4;12.25
0;18;0;124.6;0;7;6;11.666.666.666.666.600;7;6;13.5
0;21;1;120.3;0;0;0;0.0;0;0;0.0
0;20;0;121.8;0;7;7;114.375;8;8;11.425
0;18;0;125.5;0;8;7;12.857.142.857.142.800;8;7;12.857.142.857.142.800
0;19;1;114.9;0;6;6;13.375;6;6;12.285.714.285.714.200
0;19;0;123.9;0;7;6;13.296.666.666.666.600;8;7;14.114.285.714.285.700
0;18;1;157.0;1;6;5;11.6;6;4;11.0
0;21;0;116.4;0;6;6;11.375;6;6;13.285.714.285.714.200
0;18;0;131.0;0;5;5;12.666.666.666.666.600;5;4;13.0
0;20;0;122.1;0;5;5;12.0;5;5;12.333.333.333.333.300
1;19;0;118.8;0;7;6;12.933.333.333.333.300;7;6;13.716.666.666.666.600
1;21;0;150.0;0;6;5;11.857.142.857.142.800;6;5;10.571.428.571.428.500
1;20;0;130.0;0;6;6;12.833.333.333.333.300;6;4;13.4
1;18;0;138.8;0;5;3;11.333.333.333.333.300;5;2;13.5
0;19;0;134.5;0;6;6;12.666.666.666.666.600;6;6;14.375
1;34;0;131.4;0;5;5;12.4;5;5;13.428.571.428.571.400
1;37;0;102.5;1;7;0;0.0;7;1;10.0
1;43;0;128.8;0;5;0;0.0;5;0;0.0
0;55;0;122.9;0;5;1;10.0;5;2;12.0
0;39;0;113.9;0;5;5;11.0;5;5;11.6
0;20;0;120.0;1;6;3;11.666.666.666.666.600;6;3;12.0
0;18;0;121.1;1;6;4;12.75;5;0;0.0
0;22;0;120.4;0;5;5;14.8;5;5;15.8
0;22;0;100.6;0;7;5;13.928;8;7;14.342.857.142.857.100
0;20;0;121.4;0;6;4;13.0;6;5;13.8
0;29;0;109.7;0;5;0;0.0;5;0;0.0
0;24;0;134.1;0;5;2;11.5;5;3;14.333.333.333.333.300
0;18;0;127.6;0;6;6;11.666.666.666.666.600;6;5;13.2
0;22;1;132.4;0;7;6;13.516.666.666.666.600;8;7;13.771.428.571.428.500
0;21;1;133.4;0;6;6;11.5;6;6;13.285.714.285.714.200
0;19;1;126.1;0;6;5;12.333.333.333.333.300;6;6;12.833.333.333.333.300
0;24;1;113.5;0;6;6;13.666.666.666.666.600;6;6;14.166.666.666.666.600
0;19;1;121.3;0;8;6;11.833.333.333.333.300;8;6;11.833.333.333.333.300
0;20;1;121.8;0;6;4;14.0;6;3;11.0
0;19;0;159.3;0;5;5;14.714.285.714.285.700;5;5;15.8
0;27;0;120.0;0;5;5;10.6;5;5;11.0
0;18;0;129.1;0;7;7;13.044.444.444.444.400;8;8;13.595
0;39;0;130.0;0;6;0;0.0;6;0;0.0
0;27;0;155.3;0;6;5;13.0;11;10;12.9
0;18;0;139.8;0;8;8;14.935;8;8;14.935
0;18;0;115.2;0;0;0;0.0;0;0;0.0
0;18;0;114.9;0;7;6;13.133.333.333.333.300;8;7;12.221.428.571.428.500
0;21;1;131.9;0;6;6;12.0;6;6;12.0
1;19;1;126.0;0;0;0;0.0;0;0;0.0
1;19;0;130.2;0;6;5;11.4;6;1;10.0
1;24;0;120.9;0;6;0;0.0;6;0;0.0
1;29;0;126.0;0;7;5;11.9;8;5;11.0
1;19;1;128.2;0;0;0;0.0;0;0;0.0
1;23;0;130.0;0;6;6;12.571.428.571.428.500;6;6;12.428.571.428.571.400
1;19;0;120.1;1;5;5;11.2;5;4;10.75
1;26;0;100.0;0;6;6;12.0;6;5;10.8
1;18;0;134.0;0;5;0;0.0;5;0;0.0
1;24;0;130.8;0;7;7;11.975;8;8;13.75
1;19;0;135.8;0;0;0;0.0;0;0;0.0
1;18;0;111.7;0;6;3;11.666.666.666.666.600;6;1;12.0
1;18;0;132.9;0;6;6;12.333.333.333.333.300;6;3;12.333.333.333.333.300
1;18;0;115.5;1;5;3;10.333.333.333.333.300;5;3;10.857.142.857.142.800
1;21;1;106.0;0;6;4;10.5;6;1;11.0
1;19;1;120.3;1;6;6;13.666.666.666.666.600;6;6;13.333.333.333.333.300
1;22;1;130.8;0;7;7;14.842.857.142.857.100;8;8;15.055.555.555.555.500
1;33;0;117.0;0;6;6;12.0;6;6;11.666.666.666.666.600
1;20;0;110.2;0;6;5;12.2;6;5;12.2
1;35;0;155.7;0;1;0;0.0;5;0;0.0
1;24;0;180.4;1;12;6;12.166.666.666.666.600;12;10;13.3
1;18;0;125.5;0;5;5;12.0;5;3;11.333.333.333.333.300
0;33;0;110.0;0;6;6;11.0;6;5;11.0
0;22;1;161.0;0;8;7;13.08;8;7;13.08
0;25;1;100.0;0;5;4;10.5;5;5;11.6
1;20;0;117.6;0;6;6;10.666.666.666.666.600;6;5;11.2
1;23;0;128.7;0;5;4;14.0;5;5;13.8
1;18;0;112.2;1;5;2;10.0;5;0;0.0
1;24;0;100.8;0;7;0;0.0;7;0;0.0
0;21;0;105.0;0;6;6;14.0;6;6;13.5
0;26;0;100.0;0;6;2;12.0;6;0;0.0
0;39;0;115.5;0;6;3;12.666.666.666.666.600;6;0;0.0
0;44;0;114.0;0;8;8;11.875;6;6;12.333.333.333.333.300
1;19;0;137.0;0;5;5;14.0;5;3;13.25
0;18;0;124.9;0;6;6;13.666.666.666.666.600;6;6;13.333.333.333.333.300
0;18;1;120.3;0;7;7;13.75;8;8;1.447.777.777.777.770
