Gender,Age at enrollment,Scholarship holder,Admission grade,Debtor,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
1,37,0,110.0,0,6,0,0.0,6,0,0.0,
0,20,1,138.4,0,6,6,14.25,6,6,11.0,
0,38,0,160.5,0,11,11,12.636363636363637,8,8,11.0,
0,21,0,160.0,0,6,6,13.428571428571429,6,6,12.857142857142858,
0,20,0,129.0,0,5,4,11.75,5,2,10.5,
0,19,1,126.3,0,7,6,15.433333333333332,7,6,15.433333333333332,
1,23,1,131.4,0,18,18,11.894736842105264,13,13,12.923076923076923,
0,18,0,147.3,0,7,6,13.966666666666669,7,6,13.966666666666669,
0,54,0,169.2,1,7,0,0.0,5,0,0.0,
0,45,0,130.0,0,12,9,12.444444444444445,7,6,12.0,
0,18,0,129.5,0,7,7,15.155555555555557,8,8,16.8,
1,48,0,100.0,0,6,3,10.0,6,1,10.0,
1,18,0,123.2,0,5,4,11.0,5,5,10.5,
0,19,0,113.5,0,6,6,11.333333333333334,6,4,13.75,
0,18,0,122.1,0,6,5,11.833333333333334,6,5,13.8,
1,19,0,115.3,0,6,6,13.857142857142858,6,5,13.0,
1,22,0,130.0,0,6,4,11.5,6,2,12.5,
0,18,0,127.3,0,7,7,13.30625,8,8,14.545,
0,20,1,111.5,0,6,4,12.0,6,3,10.0,
0,18,0,125.7,0,6,6,11.571428571428571,6,6,12.333333333333334,
1,25,0,100.0,0,5,1,11.0,5,1,10.0,
1,20,0,114.0,0,5,4,11.6,5,4,12.25,
1,20,0,121.0,0,5,4,14.25,5,1,10.0,
0,21,0,160.0,0,6,6,13.428571428571429,6,6,12.857142857142858,
1,21,0,122.9,0,5,4,13.2,5,4,14.25,
0,18,0,126.6,0,6,6,14.625,6,6,14.142857142857142,
1,31,0,134.4,1,5,2,13.333333333333334,5,2,16.0,
1,24,0,120.0,0,5,3,10.666666666666666,5,2,10.5,
1,22,0,130.0,0,6,4,11.5,6,2,12.5,
1,19,0,121.8,0,5,5,11.6,5,4,13.5,
0,20,0,128.2,0,12,12,11.23076923076923,11,9,12.77777777777778,
0,20,0,113.2,1,6,6,13.333333333333334,6,5,14.0,
0,20,0,134.3,0,6,6,12.666666666666666,6,6,13.77777777777778,
0,20,0,123.8,0,6,5,12.0,6,6,11.0,
0,18,0,129.5,0,7,7,15.155555555555557,8,8,16.8,
1,48,0,100.0,0,6,3,10.0,6,1,10.0,
1,20,0,148.7,0,4,0,0.0,4,0,0.0,
0,18,0,120.9,0,6,0,0.0,6,0,0.0,
0,20,1,121.7,0,6,6,11.875,6,6,14.428571428571429,
1,32,0,110.0,0,8,2,11.5,7,0,0.0,
0,20,1,129.5,0,7,6,12.333333333333334,7,6,12.333333333333334,
1,25,0,100.0,0,5,1,11.0,5,1,10.0,
0,19,0,125.2,0,6,6,14.333333333333334,6,6,13.5,
0,25,0,140.0,0,5,3,10.666666666666666,5,3,11.333333333333334,
1,20,0,116.0,0,6,6,11.5,6,6,11.0,
0,32,0,120.0,0,3,2,16.0,3,1,16.0,
0,19,1,136.0,0,7,7,14.014285714285714,8,8,15.35,
1,25,0,140.0,0,6,6,14.666666666666666,6,6,13.5,
0,18,0,115.5,0,6,5,13.0,6,5,14.0,
0,25,0,140.0,0,5,3,10.666666666666666,5,3,11.333333333333334,
1,21,0,123.9,0,6,0,0.0,6,0,0.0,
0,25,1,120.0,0,8,7,13.29,8,7,13.29,
0,19,0,134.8,0,7,6,13.533333333333331,7,6,13.533333333333331,
0,23,0,134.7,0,13,9,11.0,11,7,11.571428571428571,
0,19,0,134.8,0,7,6,13.533333333333331,7,6,13.533333333333331,
0,28,0,146.2,0,14,11,11.272727272727272,11,10,12.0,
0,21,0,125.3,0,18,18,11.88888888888889,13,13,11.461538461538462,
0,21,0,98.6,0,6,2,11.0,6,0,0.0,
0,18,0,149.5,0,6,6,17.0,6,6,16.0,
1,21,0,116.2,1,5,2,11.0,5,2,11.5,
0,21,0,160.0,0,6,6,13.428571428571429,6,6,12.857142857142858,
0,26,1,100.0,1,6,0,0.0,6,0,0.0,
0,20,0,134.3,0,6,6,12.666666666666666,6,6,13.77777777777778,
1,33,1,130.0,0,8,1,10.0,8,1,10.0,
1,18,0,123.2,0,5,4,11.0,5,5,10.5,
0,21,0,98.6,0,6,2,11.0,6,0,0.0,
0,18,0,126.6,0,6,6,12.833333333333334,6,6,13.833333333333334,
