Gender;Age at enrollment;Application mode;Course;Scholarship holder;Admission grade;Curricular units 1st sem (enrolled);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade)
1;20;17;171;0;127.3;0;0;0.0;0;0;0.0
1;19;15;9254;0;142.5;6;6;14.0;6;6;13.666666666666666
1;19;1;9070;0;124.8;6;0;0.0;6;0;0.0
0;20;17;9773;0;119.6;6;6;13.428571428571429;6;5;12.4
0;45;39;8014;0;141.5;6;5;12.333333333333334;6;6;13.0
1;50;39;9991;0;114.8;5;5;11.857142857142858;5;5;11.5
0;18;1;9500;1;128.4;7;7;13.3;8;8;14.345
1;22;18;9254;0;113.1;5;0;0.0;5;0;0.0
0;21;1;9238;1;129.3;6;6;13.875;6;6;14.142857142857142
0;18;1;9238;0;123.0;6;5;11.4;6;2;13.5
0;18;1;9670;0;130.6;6;6;12.333333333333334;6;5;14.2
0;18;1;9500;1;119.3;8;7;13.214285714285714;8;7;13.214285714285714
0;19;1;9853;0;130.2;6;0;0.0;6;0;0.0
0;21;53;9254;1;111.8;6;6;10.571428571428571;6;5;11.0
0;18;1;9085;1;137.1;5;4;13.25;5;5;12.0
0;20;1;9773;0;120.7;6;5;13.2;6;0;0.0
0;18;18;9238;0;137.4;6;1;12.0;6;2;11.0
0;18;17;9500;0;127.3;7;7;13.30625;8;8;14.545
0;20;1;9130;0;136.3;5;4;12.5;5;4;12.25
0;18;1;9853;0;124.6;7;6;11.666666666666666;7;6;13.5
0;21;1;171;1;120.3;0;0;0.0;0;0;0.0
0;20;18;9556;0;121.8;7;7;11.4375;8;8;11.425
0;18;1;9500;0;125.5;8;7;12.857142857142858;8;7;12.857142857142858
0;19;1;9670;1;114.9;6;6;13.375;6;6;12.285714285714286
0;19;1;9500;0;123.9;7;6;13.296666666666669;8;7;14.114285714285714
0;18;1;9238;1;157.0;6;5;11.6;6;4;11.0
0;21;17;9238;0;116.4;6;6;11.375;6;6;13.285714285714286
0;18;1;9085;0;131.0;5;5;12.666666666666666;5;4;13.0
0;20;1;9147;0;122.1;5;5;12.0;5;5;12.333333333333334
1;19;17;9500;0;118.8;7;6;12.933333333333332;7;6;13.716666666666669
1;21;44;9003;0;150.0;6;5;11.857142857142858;6;5;10.571428571428571
1;20;51;9070;0;130.0;6;6;12.833333333333334;6;4;13.4
1;18;1;9147;0;138.8;5;3;11.333333333333334;5;2;13.5
0;19;18;8014;0;134.5;6;6;12.666666666666666;6;6;14.375
1;34;1;9991;0;131.4;5;5;12.4;5;5;13.428571428571429
1;37;39;33;0;102.5;7;0;0.0;7;1;10.0
1;43;39;9119;0;128.8;5;0;0.0;5;0;0.0
0;55;43;9147;0;122.9;5;1;10.0;5;2;12.0
0;39;39;9991;0;113.9;5;5;11.0;5;5;11.6
0;20;44;9130;0;120.0;6;3;11.666666666666666;6;3;12.0
0;18;1;9773;0;121.1;6;4;12.75;5;0;0.0
0;22;1;9147;0;120.4;5;5;14.8;5;5;15.8
0;22;1;9500;0;100.6;7;5;13.928;8;7;14.342857142857142
0;20;17;9773;0;121.4;6;4;13.0;6;5;13.8
0;29;39;9991;0;109.7;5;0;0.0;5;0;0.0
0;24;17;9991;0;134.1;5;2;11.5;5;3;14.333333333333334
0;18;17;9238;0;127.6;6;6;11.666666666666666;6;5;13.2
0;22;17;9500;1;132.4;7;6;13.516666666666666;8;7;13.771428571428572
0;21;44;8014;1;133.4;6;6;11.5;6;6;13.285714285714286
0;19;1;9238;1;126.1;6;5;12.333333333333334;6;6;12.833333333333334
0;24;39;9254;1;113.5;6;6;13.666666666666666;6;6;14.166666666666666
0;19;1;9500;1;121.3;8;6;11.833333333333334;8;6;11.833333333333334
0;20;1;9773;1;121.8;6;4;14.0;6;3;11.0
0;19;1;9130;0;159.3;5;5;14.714285714285714;5;5;15.8
0;27;39;9991;0;120.0;5;5;10.6;5;5;11.0
0;18;1;9500;0;129.1;7;7;13.044444444444444;8;8;13.595
0;39;7;9254;0;130.0;6;0;0.0;6;0;0.0
0;27;39;9130;0;155.3;6;5;13.0;11;10;12.9
0;18;17;9500;0;139.8;8;8;14.935;8;8;14.935
0;18;1;171;0;115.2;0;0;0.0;0;0;0.0
0;18;1;9500;0;114.9;7;6;13.133333333333333;8;7;12.221428571428572
0;21;44;9238;1;131.9;6;6;12.0;6;6;12.0
1;19;17;171;1;126.0;0;0;0.0;0;0;0.0
1;19;17;9070;0;130.2;6;5;11.4;6;1;10.0
1;24;43;9070;0;120.9;6;0;0.0;6;0;0.0
1;29;42;9500;0;126.0;7;5;11.9;8;5;11.0
1;19;1;171;1;128.2;0;0;0.0;0;0;0.0
1;23;44;9003;0;130.0;6;6;12.571428571428571;6;6;12.428571428571429
1;19;1;9147;0;120.1;5;5;11.2;5;4;10.75
1;26;39;9254;0;100.0;6;6;12.0;6;5;10.8
1;18;17;9147;0;134.0;5;0;0.0;5;0;0.0
1;24;17;9500;0;130.8;7;7;11.975;8;8;13.75
1;19;1;171;0;135.8;0;0;0.0;0;0;0.0
1;18;17;9254;0;111.7;6;3;11.666666666666666;6;1;12.0
1;18;1;9773;0;132.9;6;6;12.333333333333334;6;3;12.333333333333334
1;18;17;9147;0;115.5;5;3;10.333333333333334;5;3;10.857142857142858
1;21;18;9254;1;106.0;6;4;10.5;6;1;11.0
1;19;17;9773;1;120.3;6;6;13.666666666666666;6;6;13.333333333333334
1;22;17;9500;1;130.8;7;7;14.842857142857142;8;8;15.055555555555555
1;33;39;8014;0;117.0;6;6;12.0;6;6;11.666666666666666
1;20;1;9853;0;110.2;6;5;12.2;6;5;12.2
1;35;39;9991;0;155.7;1;0;0.0;5;0;0.0
1;24;39;9003;0;180.4;12;6;12.166666666666666;12;10;13.3
1;18;17;9254;0;125.5;5;5;12.0;5;3;11.333333333333334
0;33;39;8014;0;110.0;6;6;11.0;6;5;11.0
0;22;42;9500;1;161.0;8;7;13.08;8;7;13.08
0;25;39;9670;1;100.0;5;4;10.5;5;5;11.6
1;20;17;9070;0;117.6;6;6;10.666666666666666;6;5;11.2
1;23;1;9147;0;128.7;5;4;14.0;5;5;13.8
1;18;43;9119;0;112.2;5;2;10.0;5;0;0.0
1;24;39;9500;0;100.8;7;0;0.0;7;0;0.0
0;21;17;9773;0;105.0;6;6;14.0;6;6;13.5
0;26;15;9130;0;100.0;6;2;12.0;6;0;0.0
0;39;39;9853;0;115.5;6;3;12.666666666666666;6;0;0.0
0;44;39;8014;0;114.0;8;8;11.875;6;6;12.333333333333334
1;19;15;9119;0;137.0;5;5;14.0;5;3;13.25
0;18;1;9773;0;124.9;6;6;13.666666666666666;6;6;13.333333333333334
0;18;1;9500;1;120.3;7;7;13.75;8;8;14.47777777777778
0;19;1;9085;0;134.3;5;5;14.2;5;5;13.8
0;19;1;9500;0;111.5;7;4;11.96;7;0;0.0
0;21;53;9085;0;128.8;10;8;12.875;9;5;13.4
0;20;1;171;0;110.0;0;0;0.0;0;0;0.0
0;36;39;8014;0;113.5;6;0;0.0;6;0;0.0
0;43;39;9003;0;160.0;18;18;14.63157894736842;13;13;14.23076923076923
0;19;18;9853;0;117.4;6;0;0.0;6;0;0.0
0;20;51;9070;0;122.2;10;10;13.0;11;11;12.272727272727272
0;19;1;9238;0;118.2;6;0;0.0;6;0;0.0
0;20;1;9085;0;106.7;6;4;14.2;6;4;13.25
0;20;1;9500;0;108.2;7;6;13.266666666666666;7;5;12.3
0;20;17;9853;0;107.0;7;6;11.666666666666666;7;3;13.0
0;18;1;9238;0;136.1;6;6;13.857142857142858;6;6;15.0
0;18;17;9147;1;115.3;5;3;13.0;5;3;11.0
0;19;1;9085;0;139.8;5;5;13.4;5;5;12.8
0;18;1;9773;0;157.0;6;6;12.666666666666666;6;6;12.571428571428571
0;18;17;9500;0;131.0;7;6;12.516666666666666;7;6;12.516666666666666
0;20;43;9500;0;100.0;7;6;11.616666666666667;7;7;13.0
0;20;17;9238;1;140.4;6;2;10.0;6;4;10.75
0;20;17;9147;0;113.4;5;3;10.333333333333334;5;3;10.666666666666666
0;18;1;9085;0;137.0;5;5;13.142857142857142;5;5;11.4
0;18;1;9147;0;121.8;5;5;12.6;5;5;14.0
0;21;17;9254;0;131.0;6;3;11.0;6;2;11.0
0;19;1;9147;0;118.6;5;5;10.8;5;4;11.25
0;19;1;171;0;122.3;0;0;0.0;0;0;0.0
0;19;1;9670;1;127.9;5;5;12.8;5;5;14.2
0;19;1;9085;0;121.3;6;6;14.166666666666666;6;6;12.2
0;19;17;9556;0;117.1;7;5;12.1;7;0;0.0
0;20;44;9085;0;160.0;6;6;14.166666666666666;6;5;13.77777777777778
0;18;1;9853;1;145.3;6;5;12.8;6;5;13.4
0;18;17;9238;0;122.6;6;6;13.0;6;6;13.666666666666666
0;19;17;9500;0;128.0;7;7;13.467142857142855;8;8;15.011111111111113
0;18;1;9500;1;124.9;7;7;13.2375;8;7;13.742857142857144
0;18;17;9070;0;123.7;6;6;12.333333333333334;6;6;13.0
0;19;1;9147;0;120.1;5;5;12.4;5;5;14.6
0;19;17;9500;0;131.7;7;5;14.0;7;0;0.0
0;20;43;9238;0;133.2;9;9;11.666666666666666;7;7;11.714285714285714
0;19;1;9670;1;109.3;6;5;12.0;6;4;12.5
0;20;17;9670;0;113.0;5;4;12.2;5;4;11.5
0;18;1;9773;1;157.9;6;6;14.833333333333334;6;6;14.833333333333334
0;20;1;9500;1;112.1;7;5;13.188;8;7;12.892857142857142
0;18;18;9500;0;174.7;7;7;17.125;8;8;17.5875
0;19;1;9500;0;128.8;7;6;12.666666666666666;7;6;12.666666666666666
0;19;1;9773;1;110.1;6;6;12.666666666666666;6;5;12.0
0;22;51;9147;0;99.7;5;0;0.0;5;0;0.0
0;19;1;9238;1;121.0;6;6;11.333333333333334;6;6;11.5
0;19;1;9500;1;131.7;7;7;13.605;8;8;12.33125
0;19;17;9853;1;119.1;6;5;12.0;6;5;10.8
0;19;1;9254;0;124.7;5;0;0.0;5;0;0.0
0;20;17;9254;0;117.2;6;5;11.2;6;3;11.666666666666666
0;18;1;9147;0;128.8;5;5;13.375;5;5;14.166666666666666
0;20;1;9500;1;131.5;7;6;13.863333333333337;8;7;14.178571428571429
0;18;1;171;0;121.7;0;0;0.0;0;0;0.0
0;19;1;9085;0;123.4;5;5;12.4;5;5;13.4
0;18;17;9853;0;124.7;6;3;12.333333333333334;6;5;10.833333333333334
0;18;1;9853;0;132.8;6;6;13.333333333333334;6;5;11.8
0;21;43;9853;0;108.7;6;3;12.666666666666666;6;3;10.0
0;19;1;9853;0;138.1;6;6;12.0;6;4;11.5
0;18;1;9147;1;126.5;5;5;10.6;5;5;11.8
0;18;17;9238;1;127.4;6;6;12.25;6;6;11.857142857142858
0;20;1;9238;0;123.6;6;4;11.0;6;6;11.833333333333334
0;24;39;8014;1;122.0;6;5;11.0;6;5;12.6
0;19;1;9670;0;118.2;6;6;13.166666666666666;6;6;13.0
0;18;1;9500;1;123.9;7;7;12.855555555555554;8;7;12.761111111111113
0;18;1;9500;0;125.8;7;7;14.91875;8;8;15.355
0;21;17;9853;0;123.3;6;4;11.5;6;3;11.0
0;19;17;9670;0;124.4;5;5;14.2;5;5;14.2
0;19;17;9773;1;126.0;6;6;12.5;6;6;13.0
0;47;39;9003;0;170.0;1;0;0.0;6;0;0.0
0;19;17;9238;0;121.5;6;5;11.666666666666666;6;4;11.0
0;29;39;9500;0;130.0;8;7;14.257142857142856;8;7;14.257142857142856
0;21;43;9238;0;117.0;6;3;12.0;6;2;11.333333333333334
0;28;39;9085;0;130.0;5;4;11.25;5;4;10.5
0;20;17;9556;0;108.0;7;7;12.457142857142856;8;8;13.5625
0;19;17;9500;0;132.3;7;6;11.683333333333332;7;6;11.683333333333332
0;26;42;8014;0;148.0;6;3;11.666666666666666;6;5;12.0
0;20;17;9254;0;122.6;6;4;11.75;6;6;13.166666666666666
0;18;1;9670;1;123.0;5;3;11.666666666666666;5;4;13.5
0;27;39;9853;0;102.5;6;5;13.2;6;5;12.0
0;20;1;9500;0;113.3;7;4;11.95;7;4;11.95
0;18;1;9853;0;133.0;6;5;12.4;6;5;10.4
0;33;7;9500;0;140.0;7;6;14.35;8;6;14.583333333333334
0;35;43;9853;0;128.3;21;21;12.61904761904762;19;19;12.789473684210526
0;26;44;9991;1;140.0;6;6;12.666666666666666;6;6;13.166666666666666
0;27;39;9773;0;104.0;6;5;12.0;6;0;0.0
0;19;18;9070;0;122.3;6;6;12.166666666666666;6;0;0.0
0;20;17;9254;0;135.0;6;0;0.0;6;0;0.0
0;20;18;9147;0;119.1;5;3;10.0;5;3;10.571428571428571
0;21;43;9238;0;126.6;10;8;11.5;6;4;10.0
0;18;17;9500;1;129.0;7;6;13.05;7;6;13.05
0;24;39;9085;0;162.3;6;2;11.0;6;0;0.0
0;20;17;9070;0;163.4;6;6;11.5;6;6;12.0
0;21;1;9254;1;121.5;6;6;12.0;6;6;12.5
0;23;1;8014;0;122.8;6;2;10.0;5;1;10.0
0;24;39;9147;0;118.0;5;0;0.0;5;0;0.0
0;21;51;9853;0;134.0;6;0;0.0;6;0;0.0
0;18;1;9500;0;129.8;8;7;12.242857142857144;8;7;12.242857142857144
0;27;39;9991;0;152.0;5;0;0.0;5;0;0.0
0;18;18;9500;0;122.8;8;8;12.93375;8;8;12.93375
0;35;7;9119;0;150.0;5;0;0.0;5;0;0.0
0;18;1;9853;0;131.8;7;7;12.571428571428571;7;7;14.428571428571429
0;35;39;9500;0;105.9;3;3;11.816666666666668;3;3;11.333333333333334
0;19;1;9085;0;132.1;5;4;13.75;5;4;14.333333333333334
0;20;1;9238;0;127.4;6;6;11.166666666666666;6;6;11.333333333333334
0;18;1;9500;0;129.5;8;7;12.324285714285711;8;7;12.324285714285711
0;21;44;9238;0;126.7;6;6;12.166666666666666;6;6;11.714285714285714
0;18;17;9238;1;116.5;6;5;11.142857142857142;6;4;11.25
0;18;1;9238;0;119.1;6;4;11.0;6;4;10.75
0;18;1;9500;0;126.5;8;7;12.914285714285713;8;7;12.914285714285713
0;18;1;9773;1;149.8;6;6;13.833333333333334;6;6;14.166666666666666
0;19;1;9085;0;115.1;6;6;13.857142857142858;6;5;13.4
0;36;39;9254;1;124.5;6;6;13.714285714285714;6;5;12.8
0;18;1;9500;1;128.3;8;7;12.642857142857142;8;7;12.642857142857142
0;18;1;9500;1;136.0;7;6;12.916666666666666;7;6;12.916666666666666
0;20;43;9130;1;140.0;6;6;15.625;6;6;15.857142857142858
0;26;39;9991;1;126.3;5;0;0.0;5;0;0.0
0;21;43;9773;0;126.9;6;6;11.714285714285714;6;6;12.0
0;25;39;9556;0;145.0;7;6;12.125;8;8;13.3125
0;19;18;9147;1;115.8;5;5;11.6;5;5;11.6
0;24;39;8014;0;100.0;6;1;10.0;6;0;0.0
0;27;39;8014;1;102.5;6;1;10.0;6;0;0.0
